# 短对话扫描v2 — 全阶段  (diff=关)
# D1二字崩 D2短对白 D3问句句号 D4引号内多句 D5短句接龙 D6零间隔对话 N1短句三连 N2电报超短句 N3电报连发
# 汇总: {'D1': 121, 'D2': 280, 'D3': 66, 'D4': 132, 'D5': 150, 'D6': 297, 'N1': 195, 'N2': 150, 'N3': 75}  |  有发现章节 82

## Ch120: 山谷的访客——亚莉莎与狼人法师 [2：挑逗和接受]
  [D4/中] 情境L12 引号内2个。: 我一直知道是犯规级别的。你问了我二十个问题，每一个都在说'这个矮人好厉害'，我完了。
  [D4/中] 情境L12 引号内2个。: 蜥蜴人猎人。矮人符文工匠。下次是什么，精灵游侠？人类骑士？炎神族战士？下次你去雪原采苔藓——
  [D2/中] 情境L12 短对白(3字): ...法林。
  [D1/严] 情境L12 二字崩(2字): ...嗯。
  [D2/中] 情境L12 短对白(3字): 严肃。
  [D2/中] 情境L12 短对白(4字): 嗯~严肃。
  [D6/中] 情境L12 零间隔对话: 不过。|你的魅力...
  [D6/中] 情境L12 零间隔对话: 蜥蜴人猎人。矮人符文工匠。下次是什么，精灵游侠？人类骑士？炎神族战士？下次你去雪原采苔藓——|...我不会去雪原。
  [D6/中] 情境L12 零间隔对话: ...我不会去雪原。|...你去沙漠找发光仙人掌...
  [D6/中] 情境L12 零间隔对话: ...你去沙漠找发光仙人掌...|...发光仙人掌不存在。
  [D6/中] 情境L12 零间隔对话: ...发光仙人掌不存在。|...你去火山找耐热地衣...
  [D6/中] 情境L12 零间隔对话: ...你去火山找耐热地衣...|...法林！
  [D6/中] 情境L12 零间隔对话: ...法林。|...嗯。
  [D6/中] 情境L12 零间隔对话: ...嗯。|你吃醋的样子，好可爱。
  [D6/中] 情境L12 零间隔对话: 你吃醋的样子，好可爱。|...矮人要叫严肃。
  [D6/中] 情境L12 零间隔对话: ...矮人要叫严肃。|严肃。
  [D6/中] 情境L12 零间隔对话: 严肃。|嗯~严肃。
  [D5/中] 情境L12 11连短对白: ...我不会去雪原。｜...你去沙漠找发光仙人掌...｜...发光仙人掌不存在。｜...你去火山找耐热地衣...｜...法林！｜...法林。｜...嗯。｜你吃醋的样子，好可爱。｜...矮人要叫严肃。｜严肃。｜嗯~严肃。
  [N1/严] 情境L12 短句三连(最长10字): 薄荷蓝眼睛弯着。深绿色眼睛望着天花板。她看着他：
  [N3/中] 情境L12 电报连发(≤10字×3): 薄荷蓝眼睛弯着。深绿色眼睛望着天花板。她看着他：
  [D4/中] 情境L13 引号内2个。: 我会回来告诉你。不等隔一天。
  [D3/中] 情境L13 疑似问句用句号: 怎么凶。
  [D2/中] 情境L13 短对白(4字): 怎么凶。
  [D1/严] 情境L13 二字崩(2字): 比如...
  [D1/严] 情境L13 二字崩(0字): ...
  [D2/中] 情境L13 短对白(4字): 之类的。
  [D2/中] 情境L13 短对白(6字): ...你本来就是。
  [D6/中] 情境L13 零间隔对话: 你下次吃醋的时候，能不能真的生气一点点。不要碎碎念，就凶我一下...|怎么凶。
  [D6/中] 情境L13 零间隔对话: 怎么凶。|比如...
  [D5/中] 情境L13 5连短对白: 怎么凶。｜比如...｜...｜之类的。｜...你本来就是。
  [D4/中] 情境L14 引号内2个。: 刚才就是啊。吃醋了，还碎碎念了。
  [D6/中] 情境L14 零间隔对话: ...你能不能，对我有占有欲一点。|刚才就是啊。吃醋了，还碎碎念了。
  [D6/中] 情境L14 零间隔对话: 刚才就是啊。吃醋了，还碎碎念了。|吐槽我的魅力不算吃醋...
  [D6/中] 情境L14 零间隔对话: 吐槽我的魅力不算吃醋...|矮人吃醋就是碎碎念。
  [D5/中] 情境L14 4连短对白: 吐槽我的魅力不算吃醋...｜矮人吃醋就是碎碎念。｜符文工匠都这样。｜你居然在这种时候还逗我
  [N2/严] 情境L14 电报超短句(4字): - 她又哭了
  [D4/中] 情境L15 引号内4个。: ...凉了。热了一遍。又凉了。又热了一遍。
  [D2/中] 情境L15 短对白(3字): ...法林。
  [D1/严] 情境L15 二字崩(2字): 嗯。
  [D2/中] 情境L15 短对白(4字): ...谢谢你。
  [D4/中] 情境L15 引号内2个。: ...嗯。吃饭。
  [D2/中] 情境L15 短对白(5字): ...嗯。吃饭。
  [D6/中] 情境L15 零间隔对话: ...法林。|嗯。
  [D6/中] 情境L15 零间隔对话: 嗯。|...谢谢你。
  [D6/中] 情境L15 零间隔对话: ...谢谢你。|...嗯。吃饭。
  [D5/中] 情境L15 5连短对白: 我担心你｜...法林。｜嗯。｜...谢谢你。｜...嗯。吃饭。
  [D5/中] 核心L17 4连短对白: 你不会｜你本来就是｜你是我的｜我担心你
  [N1/中] 核心L17 短句三连(最长20字): 艾玛从确认到索求占有欲再到晚饭的情感递进。法林的碎碎念是他特有的占有欲形式。比更重
  [N2/严] 核心L17 电报超短句(3字): 比更重

## Ch447: 她的夜晚——劳拉的治愈（下） [5：享受和掌控]
  [D1/严] 情境L12 二字崩(2字): 对。
  [D2/中] 情境L12 短对白(6字): 知道是幻猿。
  [D6/中] 情境L12 零间隔对话: 菲娜让你来的。|对。
  [D6/中] 情境L12 零间隔对话: 对。|你知道，
  [D6/中] 情境L12 零间隔对话: 你知道，|知道是幻猿。
  [D6/中] 情境L12 零间隔对话: 知道是幻猿。|你知道了还，
  [D5/中] 情境L12 5连短对白: 菲娜让你来的。｜对。｜你知道，｜知道是幻猿。｜你知道了还，
  [N2/严] 情境L12 电报超短句(2字): - 深夜
  [N2/严] 情境L12 电报超短句(3字): 没推开
  [N2/严] 情境L12 电报超短句(3字): 握紧了
  [N2/严] 情境L13 电报超短句(4字): 烫到了她
  [D2/中] 情境L15 短对白(3字): 黎恩。
  [D2/中] 情境L15 短对白(3字): 真的。
  [D2/中] 情境L15 短对白(4字): 是真的。
  [D5/中] 情境L15 3连短对白: 黎恩。｜真的。｜是真的。
  [D2/中] 情境L17 短对白(4字): 我还要。
  [D6/中] 情境L17 零间隔对话: 劳拉，|我还要。
  [D2/中] 情境L18 短对白(3字): 留着。
  [D2/中] 情境L18 短对白(4字): 吃饱了。
  [N2/严] 情境L18 电报超短句(3字): - 黎明前
  [N2/严] 情境L18 电报超短句(4字): 最后一次
  [N2/严] 情境L19 电报超短句(3字): - 天微亮
  [D2/中] 情境L20 短对白(5字): 我没事了。
  [D5/中] 核心L24 3连短对白: 这才是第一次｜是真的｜我还要

## Ch456: 两颗心的重量——乳交与泉眼 [5：享受和掌控]
  [D5/中] 情境L23 4连短对白: 可以碰你的...｜不行的...｜你不能碰那里。｜对不起，我不该问的。
  [D3/中] 情境L24 疑似问句用句号: 那...碰一下手可以吗？就碰一下。
  [D2/中] 情境L24 短对白(3字): 够了。
  [N2/严] 情境L24 电报超短句(4字): - 她没有走
  [D2/中] 情境L26 短对白(4字): 等一下。
  [D2/中] 情境L27 短对白(5字): 像你一样。
  [D1/严] 情境L27 二字崩(2字): 可以...
  [D1/严] 情境L27 二字崩(2字): 下次
  [D2/中] 情境L27 短对白(6字): 我先回去了。
  [D5/中] 情境L27 7连短对白: 这也是暖的，｜像你一样。｜下次，｜可以...｜下次不可以了。｜下次｜我先回去了。
  [D1/严] 核心L30 二字崩(2字): 下次

## Ch473: 被玷污的剑——被接住的骑士 [5：享受和掌控]
  [N1/严] 情境L20 短句三连(最长12字): - 劳拉独自深入腐化林地侦察。太深入了。低语者从树影里涌出来
  [N1/严] 情境L20 短句三连(最长7字): 苍穹剑落地。更多的手抓住她。脚踝、大腿、腰
  [N2/严] 情境L20 电报超短句(4字): 太深入了
  [N3/中] 情境L20 电报连发(≤10字×3): 苍穹剑落地。更多的手抓住她。脚踝、大腿、腰
  [N1/严] 情境L22 短句三连(最长11字): - 发泄完就消失回阴影里。劳拉在落叶堆上躺了很久。衣服碎片散在周围
  [D2/中] 情境L23 短对白(4字): 别过来。
  [N2/严] 情境L23 电报超短句(4字): - 雷恩出现
  [N1/严] 情境L24 短句三连(最长8字): - 他带她回他的帐篷。她不要任何人看到。烧了热水
  [N2/严] 情境L24 电报超短句(4字): 烧了热水
  [N2/严] 情境L24 电报超短句(3字): 咬嘴唇
  [N3/中] 情境L24 电报连发(≤10字×3): - 他带她回他的帐篷。她不要任何人看到。烧了热水
  [D2/中] 情境L25 短对白(3字): 雷恩。
  [D3/中] 情境L25 疑似问句用句号: 还在吗。
  [D2/中] 情境L25 短对白(4字): 还在吗。
  [D2/中] 情境L25 短对白(3字): 在的。
  [D5/中] 情境L25 5连短对白: 雷恩。｜嗯...雷恩...再深一点...｜雷恩...要到了...嗯啊——｜还在吗。｜在的。
  [N1/严] 情境L25 短句三连(最长10字): - 她看着他。琥珀眼睛终于有了水光。吻他
  [N2/严] 情境L25 电报超短句(4字): - 她看着他
  [N2/严] 情境L25 电报超短句(2字): 吻他
  [N2/严] 情境L25 电报超短句(4字): 带着牙的
  [N2/严] 情境L25 电报超短句(2字): 接受
  [N2/严] 情境L25 电报超短句(2字): 很久
  [N3/中] 情境L25 电报连发(≤10字×3): - 她看着他。琥珀眼睛终于有了水光。吻他
  [N1/严] 情境L26 短句三连(最长10字): - 他抱她去浴桶。水还是温的。手捧水从她肩上淋下去
  [N1/严] 情境L26 短句三连(最长12字): 每条被细长手指抓出的红痕。洗到小穴时手停了。怕碰疼她
  [N1/严] 情境L26 短句三连(最长8字): 放到床上盖好被子。抓住他的手指。睡梦中也没松开
  [N2/严] 情境L26 电报超短句(3字): 闭着眼
  [N2/严] 情境L26 电报超短句(4字): 怕碰疼她
  [N2/严] 情境L26 电报超短句(3字): 继续洗
  [N2/严] 情境L26 电报超短句(4字): 坐到天亮
  [N3/中] 情境L26 电报连发(≤10字×3): - 他抱她去浴桶。水还是温的。手捧水从她肩上淋下去
  [N3/中] 情境L26 电报连发(≤10字×3): 放到床上盖好被子。抓住他的手指。睡梦中也没松开
  [N1/中] 情境L29 短句三连(最长18字): 直到他说——她的琥珀眼睛里才有了水光。被玷污时她撑住了。被接住反而让她碎了
  [N1/中] 情境L29 短句三连(最长19字): 他把精液填进那个刚被低语者玷污过的地方。他在确认。她接纳了他的精液
  [N3/中] 情境L29 电报连发(≤10字×3): 他在确认。她接纳了他的精液。然后抓着他的手指睡着
  [N1/中] 核心L31 短句三连(最长19字): 劳拉被低语者轮奸后雷恩回收。雷恩以三样宣言告诉她没有被拿走任何东西。两人做爱时她骑在上方定节奏

## Ch475: 今天你什么都不用做——艾玛被接住的夜晚 [5：享受和掌控]
  [D2/中] 情境L23 短对白(4字): ...累死了。
  [D1/严] 情境L25 二字崩(2字): 留住
  [D1/严] 情境L25 二字崩(2字): 记忆
  [D1/严] 情境L25 二字崩(1字): 嗯...
  [D5/中] 情境L25 4连短对白: 留住｜记忆｜这里呢｜嗯...
  [D3/中] 情境L26 疑似问句用句号: 你今天...什么都不用我做，对不对。
  [D3/中] 情境L26 疑似问句用句号: 你什么都不用想，什么都不用做，只要趴着放松就好了。

## Ch478: 狼人同盟——月光下的誓言 [5：享受和掌控]
  [D2/中] 情境L11 短对白(4字): 该去了。
  [D2/中] 情境L19 短对白(6字): 以后可以说。

## Ch480: 甜蜜顶点——矮人的第一次 [5：享受和掌控]
  [D1/严] 情境L20 二字崩(2字): 留住
  [D1/严] 情境L20 二字崩(2字): 记忆
  [D2/中] 情境L21 短对白(3字): 是你。
  [D6/中] 情境L21 零间隔对话: '留住'和'记忆'叠在一起，是什么？|是你。
  [D1/严] 情境L23 二字崩(2字): 你…
  [D6/中] 情境L23 零间隔对话: 你…|别说话...
  [N2/严] 情境L24 电报超短句(2字): 重复
  [D1/严] 情境L25 二字崩(2字): 嗯...嗯...
  [D3/中] 情境L25 疑似问句用句号: 我在，我在这儿呢。
  [D5/中] 情境L25 4连短对白: 嗯...嗯...｜法林...那里...对...嗯嗯~就是那里...｜要去了...法林...要到了...｜我在，我在这儿呢。
  [D2/中] 情境L27 短对白(3字): 法林。
  [D1/严] 情境L27 二字崩(2字): 嗯。
  [D2/中] 情境L27 短对白(4字): 一直是。
  [D6/中] 情境L27 零间隔对话: 法林。|嗯。
  [D6/中] 情境L27 零间隔对话: 嗯。|你是我的了~
  [D6/中] 情境L27 零间隔对话: 你是我的了~|一直是。
  [D5/中] 情境L27 4连短对白: 法林。｜嗯。｜你是我的了~｜一直是。
  [D1/严] 情境L28 二字崩(2字): 留住
  [D1/严] 情境L28 二字崩(2字): 记忆
  [D1/严] 核心L31 二字崩(2字): 留住
  [D1/严] 核心L31 二字崩(2字): 记忆
  [D1/严] 核心L31 二字崩(2字): 是你
  [D5/中] 核心L31 4连短对白: 留住｜记忆｜是你｜一直是
  [N1/严] 核心L31 短句三连(最长8字): 艾玛主动跨坐插入。他射前看她她点头。他说不结巴了
  [N3/中] 核心L31 电报连发(≤10字×3): 艾玛主动跨坐插入。他射前看她她点头。他说不结巴了

## Ch485: 腐化藤的拘束——和上次一样的姿势 [5：享受和掌控]
  [D5/中] 情境L23 3连短对白: 乔治...你...｜嗯...乔治...等一下...｜啊...到了...
  [N2/严] 情境L23 电报超短句(4字): - 他低下头
  [D1/严] 情境L24 二字崩(2字): 嗯...嗯...
  [D2/中] 情境L24 短对白(3字): 菲娜。
  [D2/中] 情境L24 短对白(5字): 你解开我。
  [D5/中] 情境L24 3连短对白: 嗯...嗯...｜菲娜。｜你解开我。
  [N2/严] 情境L25 电报超短句(2字): - 回程
  [D2/中] 情境L28 短对白(5字): 说来听听。
  [D3/中] 情境L28 疑似问句用句号: 我去问算怎么回事。
  [D2/中] 情境L28 短对白(4字): 我跟着。
  [D6/中] 情境L28 零间隔对话: 嗯？今天怎么了？|巡逻的时候腐化藤缠住我了，他杀了藤，然后...
  [D6/中] 情境L28 零间隔对话: 巡逻的时候腐化藤缠住我了，他杀了藤，然后...|然后呢？
  [D6/中] 情境L28 零间隔对话: 他的脸红了，我可能也红了，然后他就...|他就没忍住把我的小宝贝吃干抹净了。
  [D6/中] 情境L28 零间隔对话: 我发现一件事。|说来听听。
  [D6/中] 情境L28 零间隔对话: 说来听听。|乔治...可能是个变态。
  [D6/中] 情境L28 零间隔对话: 哪方面？|拘束。他上次绑住我的时候就...
  [D6/中] 情境L28 零间隔对话: 拘束。他上次绑住我的时候就...|上次他不是故意的。
  [D6/中] 情境L28 零间隔对话: 上次他不是故意的。|这次也不是，但是他看到我被绑住，他的眼神和平时不一样。
  [D6/中] 情境L28 零间隔对话: 你说他是不是...偷偷喜欢这个？|这种事你去问他本人啊。
  [D6/中] 情境L28 零间隔对话: 我不要！你去问。|我去问算怎么回事。
  [D6/中] 情境L28 零间隔对话: 下次巡逻我跟着。|不是信不过他...
  [D6/中] 情境L28 零间隔对话: 不是信不过他...|我跟着。
  [D5/中] 情境L28 5连短对白: ...黎恩！｜我发现一件事。｜说来听听。｜乔治...可能是个变态。｜哪方面？
  [D5/中] 情境L28 6连短对白: 这种事你去问他本人啊。｜我不要！你去问。｜我去问算怎么回事。｜下次巡逻我跟着。｜不是信不过他...｜我跟着。
  [N1/严] 情境L28 短句三连(最长11字): - 晚上菲娜趴在黎恩胸口。她开了个头又停住。黎恩的手指穿过她的发丝
  [N1/严] 情境L28 短句三连(最长11字): 黎恩饶有兴趣地等着下文。她停下。黎恩没催
  [N1/严] 情境L28 短句三连(最长8字): 黎恩笑了。谁都没打算真去问。黎恩收紧手臂
  [N3/中] 情境L28 电报连发(≤10字×3): 黎恩笑了。谁都没打算真去问。黎恩收紧手臂

## Ch493: 菲娜的生日——被爱着的夜晚（上） [5：享受和掌控]
  [D1/严] 情境L24 二字崩(2字): ...好。
  [D5/中] 情境L24 4连短对白: 等下给她别说是我准备的。｜给菲娜的惊喜｜被菲娜夸｜...好。
  [N2/严] 情境L25 电报超短句(2字): - 傍晚
  [N2/严] 情境L25 电报超短句(4字): 有人记得
  [D4/中] 情境L26 引号内2个。: 你的前任守护者欠你三百二十个生日。剩下的我陪你过。
  [N1/中] 情境L26 短句三连(最长14字): - 所有女孩几乎同时朝她走了过去。爱丽榭把脸贴在她肩上。然后是菲
  [N1/中] 情境L26 短句三连(最长13字): 话说得平淡但紫瞳里没有笑意。菲娜终于哭了。她没有躲在谁怀里哭
  [N2/严] 情境L26 电报超短句(4字): 然后是菲
  [N3/中] 情境L26 电报连发(≤10字×3): 菲娜终于哭了。她没有躲在谁怀里哭。眼泪从下巴滴到了地上
  [N2/严] 章节终止条件L33 电报超短句(4字): 没有人答

## Ch495: 酒量大比拼——醉意中的营地 [5：享受和掌控]
  [D4/中] 情境L20 引号内2个。: 饭吃了蛋糕吃了蜡烛吹了。现在玩个大的。
  [D2/中] 情境L22 短对白(6字): ...有情况叫我。
  [D1/严] 情境L22 二字崩(2字): 谢谢
  [D2/中] 情境L23 短对白(4字): 我等你。
  [D5/中] 情境L23 4连短对白: 原来如此｜你的代谢率...算了。｜下次我找矮人要更烈的。｜我等你。
  [D1/严] 情境L24 二字崩(2字): 烈酒
  [D1/严] 情境L24 二字崩(2字): 杯子
  [D2/中] 情境L24 短对白(3字): 丢人。
  [D5/中] 情境L24 5连短对白: 烈酒｜杯子｜这个好像真的能用——｜就这？！就这？？｜丢人。

## Ch496: 散场时分——各自的归处 [5：享受和掌控]
  [N2/严] 情境L26 电报超短句(4字): - 酒赛散场
  [D2/中] 情境L27 短对白(5字): ...菲娜，暖。
  [D5/中] 情境L27 4连短对白: ...菲娜，暖。｜运输模式——启——｜今晚不需要了...｜...确认，撤回运输请求。
  [D4/中] 情境L28 引号内2个。: 玲。你的导力器。第三代的——
  [D6/中] 情境L28 零间隔对话: 凯尔哥哥~你还认得我是谁吗~|玲。你的导力器。第三代的——
  [N1/中] 情境L28 短句三连(最长17字): - 凯尔的眼镜歪到了额头。玲踮着脚把眼镜摘下来挂在自己领口上。扶凯尔的动作是另一回事
  [D1/严] 情境L29 二字崩(2字): 姐姐~
  [D2/中] 情境L29 短对白(5字): ...好呀，乖。
  [D5/中] 情境L29 4连短对白: 姐姐~｜今晚我不想一个人...｜你多大了｜...好呀，乖。
  [N1/中] 情境L30 短句三连(最长14字): - 雷恩走在劳拉左侧。深绿色眼睛看着前面的路。守护者永远走在被守护者的外侧
  [N1/中] 核心L32 短句三连(最长18字): 玲扶凯尔时的姿势来自噬身之蛇。肌肉记忆不说谎。劳拉注意到了雷恩走在外侧和他在数步子
  [N2/严] 核心L32 电报超短句(4字): 散场群像
  [N1/中] 章节任务L34 短句三连(最长16字): 全员醉酒散场。菲娜左手菲右手亚尔缇娜带了两只猫。玲以噬身之蛇的默契扶凯尔回去

## Ch497: 迷糊的魔女——浪子的护送（上） [5：享受和掌控]
  [D4/中] 情境L15 引号内2个。: 艾德里安先生——真的太麻烦你了。我自己实在没办法同时照顾三个人。
  [D6/中] 情境L16 零间隔对话: 我不是——|为什么你没有抱着我？
  [D5/中] 情境L16 3连短对白: 欸...法林？｜我不是——｜为什么你没有抱着我？

## Ch501: 大姐姐的夜——温柔的占有（上） [5：享受和掌控]
  [N2/严] 情境L20 电报超短句(2字): 留住
  [N2/严] 情境L21 电报超短句(4字): 摸到了吗
  [D6/中] 情境L22 零间隔对话: ...尺寸刚好呢...|不是——我没量过——
  [D6/中] 情境L22 零间隔对话: 不是——我没量过——|所以是恰好。符文学里这叫——
  [D3/中] 情境L24 疑似问句用句号: 嗯呢。
  [D2/中] 情境L24 短对白(3字): 嗯呢。
  [D6/中] 情境L24 零间隔对话: 法林~我的脚有这么好闻吗？|嗯呢。
  [D6/中] 情境L24 零间隔对话: 嗯呢。|你不辩解一下？
  [D6/中] 情境L24 零间隔对话: 你不辩解一下？|不用辩解的...
  [D5/中] 情境L24 5连短对白: 法林~我的脚有这么好闻吗？｜嗯呢。｜你不辩解一下？｜不用辩解的...｜艾玛的脚...好软好香
  [N1/中] 情境L24 短句三连(最长15字): 心脏在那道弧线底下跳得又快又重。她说完之后没有把脚收回来。符文灯暗绿的暖光安静地照着石壁
  [D1/严] 核心L28 二字崩(2字): 留住
  [D1/严] 章节任务L30 二字崩(2字): 留住

## Ch503: 睡美人的通讯——误会的蔓延 [5：享受和掌控]
  [D6/中] 情境L19 零间隔对话: 她和法林在一起~|午饭后还没回来就打电话。
  [D5/中] 情境L19 3连短对白: 艾玛还没回来。｜她和法林在一起~｜午饭后还没回来就打电话。
  [D1/严] 情境L20 二字崩(2字): 嗯...？
  [D6/中] 情境L20 零间隔对话: 艾玛！你没事吧？怎么睡到现在？|唔...亚莉莎...
  [N2/严] 情境L20 电报超短句(3字): - 午饭后
  [N1/中] 情境L21 短句三连(最长17字): - 餐厅里至少有七个人同时听到了这句话。亚莉莎的绯红眼睛瞪圆了。玲的金色眼睛弯成两道弧
  [N1/中] 情境L21 短句三连(最长13字): 她说的不是。她说的是。艾玛的下一句飘出来:通讯挂断
  [D2/中] 情境L22 短对白(3字): 变态。
  [D2/中] 情境L22 短对白(6字): 现在是你了。
  [D6/中] 情境L22 零间隔对话: 舒服呢~|不是——她说的不是那个意思——
  [D6/中] 情境L22 零间隔对话: 你说你好好送到了。|我确实好好送到了！
  [D6/中] 情境L22 零间隔对话: 我确实好好送到了！|那她为什么说很舒服？
  [D6/中] 情境L22 零间隔对话: 那她为什么说很舒服？|她昨晚喝醉了！你知道她喝完酒之后是怎么说话的吗她整个人——
  [D6/中] 情境L22 零间隔对话: 变态。|...这不是情报局标准。
  [D6/中] 情境L22 零间隔对话: ...这不是情报局标准。|现在是你了。
  [D5/中] 情境L22 3连短对白: 你说你好好送到了。｜我确实好好送到了！｜那她为什么说很舒服？
  [D5/中] 情境L22 3连短对白: 变态。｜...这不是情报局标准。｜现在是你了。

## Ch504: 浪子的清白——玲的取证 [5：享受和掌控]
  [D6/中] 情境L22 零间隔对话: 菲娜姐姐...艾德里安真的...？|不知道呢~等当事人起床再说。
  [D4/中] 情境L23 引号内2个。: 艾德里安不是这种人。她说的舒服，是在法林身边舒服——艾德里安只是送她回去而已。
  [N1/中] 情境L23 短句三连(最长15字): 劳拉没有看艾德里安。她在看亚莉莎的绯红色眼睛。艾德里安手里的茶杯稳在了桌面上
  [D2/中] 情境L24 短对白(6字): ...是我太急了。
  [D2/中] 情境L24 短对白(4字): 对不起。
  [D5/中] 情境L24 3连短对白: 法林哥哥~昨晚舒服吗~｜不是艾德里安。｜更正：取消待观察，回滚。
  [N2/严] 情境L24 电报超短句(2字): 下午
  [N2/严] 情境L24 电报超短句(4字): 声音很小
  [N1/中] 章节终止条件L30 短句三连(最长13字): 1.劳拉站在人群边缘观察。她见过艾德里安撒谎时的眼神。这次的眼神是不知所措的
  [N1/中] 章节终止条件L30 短句三连(最长15字): 她开口论证：艾德里安不是这种人。她说的舒服是在法林身边舒服。劳拉说话时看着亚莉莎的眼睛
  [N2/严] 章节终止条件L30 电报超短句(4字): 论证过了
  [N1/中] 章节终止条件L31 短句三连(最长15字): 玲宣布不是艾德里安。亚尔缇娜面无表情删除待评估标签。艾德里安拍桌大叫我说什么来着

## Ch505: 受伤的浪子——不走了（上） [5：享受和掌控]
  [N2/严] 情境L18 电报超短句(1字): 嗯
  [N2/严] 情境L18 电报超短句(4字): 喝点小酒
  [N1/严] 情境L19 短句三连(最长10字): 她的声音平实。她问的是。他在门框里沉默了片刻
  [N2/严] 情境L19 电报超短句(3字): - 敲门声
  [N3/中] 情境L19 电报连发(≤10字×3): 她的声音平实。她问的是。他在门框里沉默了片刻
  [D2/中] 情境L20 短对白(5字): 过来...坐下。
  [D6/中] 情境L20 零间隔对话: 我知道...大家都知道。|那为什么没人——
  [D5/中] 情境L20 3连短对白: 我知道...大家都知道。｜那为什么没人——｜过来...坐下。
  [N1/严] 情境L20 短句三连(最长12字): 他的声音没有调侃没有从容。劳拉看着他的背影。他把后半句吞回去了
  [N3/中] 情境L20 电报连发(≤10字×3): 劳拉看着他的背影。他把后半句吞回去了。劳拉替他接住了那句话
  [D1/严] 情境L21 二字崩(2字): 本质
  [N1/中] 章节终止条件L27 短句三连(最长19字): 1.傍晚艾德里安独自喝着矮人烈酒想白天的事。发现只有劳拉选择先观察再判断。敲门声
  [N2/严] 章节终止条件L27 电报超短句(3字): 敲门声

## Ch520: 地下日记·第三页——偷来的书 [5：享受和掌控]
  [D1/严] 情境L11 二字崩(2字): 守护
  [N1/中] 情境L14 短句三连(最长13字): 学会了上古语的词根结构。精灵语只是它的方言。有人在很久以前也在这里困过

## Ch537: 太古的真相——三人解谜 [5：享受和掌控]
  [D2/中] 情境L25 短对白(6字): 封印在那里。
  [N2/严] 情境L26 电报超短句(4字): - 天快亮了
  [D1/严] 情境L27 二字崩(2字): 是。
  [D2/中] 情境L27 短对白(5字): 我不知道。
  [D6/中] 情境L27 零间隔对话: 这些信息，你从哪来的？|石殿里的牛头人告诉我的。
  [D6/中] 情境L27 零间隔对话: 石殿里的牛头人告诉我的。|他让你看那些石板。
  [D6/中] 情境L27 零间隔对话: 他让你看那些石板。|是。
  [D6/中] 情境L27 零间隔对话: 是。|为什么——
  [D6/中] 情境L27 零间隔对话: 为什么——|我不知道。
  [D5/中] 情境L27 7连短对白: 我去告诉菲娜。｜这些信息，你从哪来的？｜石殿里的牛头人告诉我的。｜他让你看那些石板。｜是。｜为什么——｜我不知道。
  [N1/严] 情境L27 短句三连(最长11字): 菲娜听完后沉默了很久。她的琥珀色眼睛看向艾玛。艾玛手指碰了碰辫尾
  [D3/中] 情境L28 疑似问句用句号: 不管你是怎么拿到这些的，你做到了，谢谢。
  [D1/严] 核心L33 二字崩(2字): 谢谢
  [N2/严] 核心L33 电报超短句(4字): 解谜突破

## Ch613: 地下日记·第四页——上面的声音 [6：放纵]
  [N2/严] 情境L12 电报超短句(4字): 上面有人
  [N2/严] 情境L15 电报超短句(3字): 不要怕

## Ch627: 熔炉前的试刀——太刀的隐奸 [6：放纵]
  [N1/严] 情境L14 短句三连(最长7字): 震动停了。过了一会儿又震。又停
  [N2/严] 情境L14 电报超短句(4字): 震动停了
  [N2/严] 情境L14 电报超短句(2字): 又停
  [N3/中] 情境L14 电报连发(≤10字×3): 震动停了。过了一会儿又震。又停
  [N2/严] 情境L15 电报超短句(3字): 话断了
  [D2/中] 情境L16 短对白(3字): 张嘴。
  [D1/严] 情境L16 二字崩(2字): 咕啾
  [D2/中] 情境L18 短对白(3字): 三次。
  [D2/中] 情境L18 短对白(3字): 两个。
  [D2/中] 情境L18 短对白(4字): 激活了。
  [D2/中] 情境L18 短对白(5字): 那就够了。
  [D6/中] 情境L18 零间隔对话: 符文激活了几次？|三次。
  [D6/中] 情境L18 零间隔对话: 三次。|和几个矮人？
  [D6/中] 情境L18 零间隔对话: 和几个矮人？|两个。
  [D6/中] 情境L18 零间隔对话: 刀好用吗？|激活了。
  [D6/中] 情境L18 零间隔对话: 激活了。|那就够了。
  [D5/中] 情境L18 5连短对白: …是高潮的时候。｜符文激活了几次？｜三次。｜和几个矮人？｜两个。
  [D5/中] 情境L18 3连短对白: 刀好用吗？｜激活了。｜那就够了。
  [N2/严] 情境L18 电报超短句(2字): - 木屋
  [N1/中] 章节任务L22 短句三连(最长19字): 黎恩打了四次导力通讯无人接听全程不知情。事后菲娜跪在他面前边口交边逐条汇报。黎恩确认刀好用之后插入她完成占有回收
  [N1/中] 章节终止条件L24 短句三连(最长14字): 多尔金和哈根一前一后插入。菲娜在第三道符文激活瞬间高潮。黎恩打了四次导力通讯无人接听

## Ch645: 最后的边界——肛交与最深处的暖 [6：放纵]
  [D3/中] 情境L20 疑似问句用句号: 这几天我一直在想一件事，想得睡不着。
  [D4/中] 情境L20 引号内2个。: 可以……进到更里面吗。你身体里，没人碰过的地方。
  [D3/中] 情境L20 疑似问句用句号: 可以……进到更里面吗。你身体里，没人碰过的地方。
  [D4/中] 情境L20 引号内2个。: 只是碰一下外面……你的身体我不进去，就用手帮你准备。你要是疼，我立刻停下。
